file name HJD fitMean fitMeanErr fitDepth fitDepthErr fitWidth fitWidthErr fitCont fitContErr fitResidual fitEQW fitIntegral fitIntegralErr centroid EQW halfmax FWHM LHM RHM EMAX FWEM LEM REM skewness skewErr kurtosis kurtErr
d10023 RUPsc 2459128.87808305 3898.710325 2.302231 -0.333747 1.596438 0.139595 0.038303 0.977930 0.017798 0.054706 0.097100 0.119418 0.572159 3898.724611 0.076767 0.797757 0.294750 0.533739 0.466261 0.959551 0.362024 0.620383 0.379617 -0.113293 0.019367 -0.837641 0.006671
d10024 RUPsc 2459128.89039795 3897.959216 0.017833 6.361019 0.404207 0.035847 0.002010 0.850809 0.044259 0.696564 -0.553385 -0.671796 -0.056930 3897.959196 -0.469436 3.796974 0.187957 0.529868 0.470132 1.559395 0.187957 0.529868 0.470132 3.749787 0.067631 12.994721 0.561782
d10026 RUPsc 2459128.90731998 3897.892786 0.124340 -0.254634 0.173401 0.078441 0.038761 0.966430 0.031604 0.139244 0.088894 0.051805 0.043588 3897.941581 0.070357 0.816734 0.315824 0.478806 0.521194 0.963347 0.375288 0.547801 0.452199 -0.048245 0.013163 -0.746165 0.012102
d10027 BAD -9999.0 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000
d10028 RUPsc 2459128.93202967 3898.804729 nan -0.350442 nan 0.125280 nan 0.952251 nan 0.086077 0.108178 0.115567 nan 3898.783783 0.097115 0.769016 0.262944 0.394173 0.605827 0.953803 0.398931 0.565452 0.434548 -0.248428 0.026513 -0.513138 0.035518
d10029 RUPsc 2459128.94441852 3897.301504 0.134481 0.293438 0.088904 0.316831 0.121364 0.743886 0.026030 0.070079 0.236027 -0.313277 -0.153001 3897.929126 0.112388 0.803852 0.305614 0.328158 0.671842 0.960770 1.253113 0.754635 0.245365 -0.176932 0.007205 -0.694370 0.017790
d20011 RUPsc 2459129.6419371 3897.827562 0.147428 -0.165275 0.118857 0.090415 0.085613 0.802261 0.025383 0.080178 0.053073 0.046690 0.055515 3897.845493 0.116551 0.830125 0.435361 0.530909 0.469091 0.966025 0.501178 0.524029 0.475971 -0.293868 0.019350 -0.827176 0.021332
d20012 RUPsc 2459129.65414382 3898.711437 1.325069 -0.378871 1.049517 0.148124 0.039672 1.034013 0.009822 0.108926 0.119561 0.136045 0.378618 3898.743990 0.070996 0.801730 0.279433 0.559324 0.440676 0.960346 0.390587 0.684733 0.315267 -0.577345 0.014087 0.241862 0.018838
d20013 RUPsc 2459129.6663502 3897.286822 nan 4.569130 nan 3.617110 nan -3.552218 nan 0.086462 -0.077162 11.662335 nan 3898.764025 0.092047 0.811694 0.281589 0.568370 0.431630 0.962339 0.425885 0.684355 0.315645 nan nan nan nan
d20014 RUPsc 2459129.6785567 3893.819198 nan 6.299323 nan 11.915709 nan -5.019477 nan 0.079377 -0.088939 37.483940 nan 3898.729081 0.116935 0.789439 0.284112 0.403856 0.596144 0.957888 0.406748 0.583595 0.416405 nan nan nan nan
d20016 RUPsc 2459129.69849967 3897.555206 0.145114 0.417334 0.204457 0.100508 0.039138 0.923732 0.035178 0.296771 -0.192484 -0.113822 -0.071232 3897.573892 -0.163736 1.730600 0.563841 0.540407 0.459593 1.146120 0.563841 0.540407 0.459593 -1.550238 0.019971 0.450355 0.062495
d20017 RUPsc 2459129.71070616 3898.290366 nan -88.419640 nan 7.215265 nan 89.166694 nan 4.774828 -0.004266 17.934459 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
d20018 RUPsc 2459129.72291266 3898.801676 1.406425 -0.325548 0.942617 0.157714 0.043793 0.977967 0.020347 0.068372 0.096675 0.131598 0.382788 3898.837016 0.077713 0.776144 0.275158 0.596924 0.403076 0.955229 0.398808 0.689840 0.310160 -0.290633 0.011277 -0.657746 0.014439
d20019 RUPsc 2459129.73511938 3897.952148 0.126691 -0.267240 0.114278 0.074004 0.024027 0.867960 0.020331 0.042007 0.069516 0.057114 0.030666 3897.968219 0.086918 0.787438 0.271449 0.423770 0.576230 0.957488 0.407218 0.562754 0.437246 -0.214846 0.009354 -0.495161 0.012825
d20021 RUPsc 2459129.75371097 3898.825968 2890072.683795 -0.248210 1507246.672754 0.050213 0.075775 0.875423 0.084781 0.791987 0.075367 0.035687 216707.402668 3898.803768 0.073677 0.780921 0.281926 0.444882 0.555118 0.956184 0.281926 0.444882 0.555118 0.574789 0.014265 -0.086395 0.025274
d20024 RUPsc 2459129.79033041 3898.798362 1.560864 -0.310182 1.008679 0.137249 0.023975 0.978708 0.012103 0.017256 0.095824 0.109034 0.355080 3898.793602 0.075131 0.829405 0.333602 0.500398 0.499602 0.965881 0.445082 0.625533 0.374467 -0.257039 0.013017 -0.753295 0.006696
d20026 RUPsc 2459129.81356219 3898.789853 1.425097 -0.304329 0.897412 0.152110 0.021186 0.980438 0.009937 0.010361 0.098110 0.118350 0.349383 3898.738116 0.076508 0.853928 0.344838 0.468857 0.531143 0.970786 0.483312 0.621035 0.378965 -0.391962 0.008678 -0.637480 0.009902
d20027 RUPsc 2459129.82576883 3896.719730 nan 9.161366 nan 8.526329 nan -8.117628 nan 0.009178 -0.024070 24.120322 nan 3898.654591 0.097429 0.880269 0.383312 0.385988 0.614012 0.976054 0.489110 0.518803 0.481197 nan nan nan nan
d20028 RUPsc 2459129.83797526 3896.273062 nan 5.547760 nan 7.647321 nan -4.475791 nan 0.009391 -0.050849 23.760033 nan 3898.610730 0.096044 0.871451 0.366134 0.408496 0.591504 0.974290 1.211949 0.821305 0.178695 nan nan nan nan
d20029 RUPsc 2459129.85018179 3896.507102 nan 8.125397 nan 8.373750 nan -7.074722 nan 0.008079 -0.042037 24.107111 nan 3898.536747 0.087495 0.870265 0.312844 0.371639 0.628361 0.974053 1.143762 0.828129 0.171871 nan nan nan nan
d20031 RUPsc 2459129.86773815 3898.531597 nan -0.272711 nan 0.154313 nan 0.982392 nan 0.011295 0.088256 0.107377 nan 3898.490879 0.066409 0.866297 0.331912 0.463504 0.536496 0.973259 0.511458 0.651840 0.348160 -0.411419 0.007558 -0.535604 0.017348
d20032 RUPsc 2459129.87994471 3898.515405 1.013111 -0.304991 0.643490 0.140685 0.020967 0.986661 0.009154 0.008616 0.095071 0.109008 0.230565 3898.476727 0.070416 0.847388 0.327172 0.412478 0.587522 0.969478 0.506002 0.620119 0.379881 -0.423207 0.018682 -0.429546 0.041469
d20033 RUPsc 2459129.89215131 3898.501212 1.023657 -0.316333 0.677970 0.134662 0.015900 0.953369 0.008743 0.010573 0.102312 0.112000 0.240404 3898.463413 0.093970 0.832053 0.343963 0.416328 0.583672 0.966411 0.518304 0.603449 0.396551 -0.472918 0.016930 -0.476398 0.017892
d20034 RUPsc 2459129.90435769 3898.498046 1.295156 -0.348152 0.942467 0.135839 0.019628 0.998181 0.010690 0.012219 0.107096 0.118761 0.321949 3898.480723 0.076659 0.829872 0.343750 0.452437 0.547563 0.965974 0.473273 0.602291 0.397709 -0.307405 0.010029 -0.715122 0.019615
d20036 RUPsc 2459129.92042646 3898.485368 0.720039 -0.290925 0.432651 0.150470 0.024995 0.989721 0.012556 0.018991 0.102501 0.110869 0.165905 3898.502066 0.076883 0.796797 0.278722 0.489101 0.510899 0.959359 0.476979 0.649820 0.350180 -0.344570 0.019725 -0.317053 0.020454
d20037 RUPsc 2459129.93263283 3898.456665 1.711316 -0.152793 0.551589 0.134125 0.045906 0.856388 0.010517 0.017986 0.046567 0.059984 0.217514 3898.468332 0.098529 0.808807 0.301105 0.365727 0.634273 0.961761 0.595194 0.662693 0.337307 -0.054601 0.014507 -0.740745 0.007589
d20038 RUPsc 2459129.94483972 3898.516178 2.611497 -0.286042 1.573398 0.122825 0.028065 0.969785 0.014134 0.028943 0.106382 0.090810 0.499938 3898.531380 0.088879 0.782299 0.281859 0.420413 0.579587 0.956460 0.417236 0.594855 0.405145 -0.202613 0.013877 -0.583641 0.012448
d20039 RUPsc 2459129.95704625 3898.552839 7.497041 -0.344810 5.429470 0.116267 0.025912 0.990359 0.013760 0.034057 0.105086 0.101469 1.597914 3898.556338 0.077580 0.778053 0.241999 0.428765 0.571235 0.955611 0.386518 0.627230 0.372770 -0.270451 0.009251 -0.623459 0.011611
d20040 RUPsc 2459129.96939146 3896.905956 0.069367 0.800097 0.199766 0.133653 0.022639 0.833481 0.037969 0.474869 0.225242 -0.321601 -0.097031 3896.881380 -0.200972 2.009423 0.532542 0.231287 0.768713 1.201885 0.532542 0.231287 0.768713 nan nan nan nan
d30009 RUPsc 2459130.64028516 3901.461253 nan -1.045969 nan 3.143971 nan 1.270977 nan 0.010017 0.210526 6.485592 nan 3897.976657 0.466881 0.857406 1.247259 0.412216 0.587784 0.971481 1.973448 0.628509 0.371491 -0.258081 0.019200 -1.085419 0.008829
d30010 RUPsc 2459130.65249164 3898.489231 6.441437 -0.179818 2.435856 0.115883 0.028456 0.857638 0.007573 0.009997 0.051497 0.060903 0.825139 3898.435872 0.088651 0.843783 0.407531 0.483186 0.516814 0.968757 0.501192 0.579766 0.420234 -0.007401 0.007990 -0.967872 0.013475
d30011 RUPsc 2459130.66469809 3898.474609 0.752394 -0.261209 0.409578 0.157634 0.028350 0.992445 0.010574 0.017016 0.092419 0.103997 0.164138 3898.452448 0.065366 0.846139 0.392694 0.505871 0.494129 0.969228 0.450647 0.569416 0.430584 -0.086966 0.014141 -0.746589 0.019820
d30012 RUPsc 2459130.67690456 3896.081586 nan 3.980563 nan 6.401682 nan -2.911244 nan 0.015117 -0.060093 21.940667 nan 3898.412250 0.098263 0.858055 0.355932 0.341897 0.658103 0.971611 0.516694 0.546657 0.453343 nan nan nan nan
d30014 RUPsc 2459130.69785877 3898.503083 1.964818 -0.326477 1.339929 0.134424 0.018788 0.992068 0.010290 0.012524 0.094357 0.110886 0.455364 3898.471350 0.066756 0.834865 0.307970 0.434280 0.565720 0.966973 0.471853 0.630765 0.369235 -0.424011 0.007669 -0.403087 0.023262
d30015 RUPsc 2459130.71256863 3898.515358 2.814085 -0.342190 2.024808 0.120935 0.016458 0.986275 0.010005 0.012724 0.097528 0.105174 0.622503 3898.495102 0.072174 0.822862 0.293391 0.418304 0.581696 0.964572 0.433963 0.581076 0.418924 -0.309321 0.012776 -0.540364 0.028945
d30016 RUPsc 2459130.72572549 3898.538226 3.733728 -0.336241 2.631262 0.129690 0.024233 0.974772 0.012374 0.014915 0.099608 0.112136 0.877774 3898.512778 0.079205 0.806149 0.283916 0.421936 0.578064 0.961230 0.372911 0.559892 0.440108 -0.338802 0.011319 -0.334521 0.020494
d30017 RUPsc 2459130.73928094 3898.562229 2.655956 -0.386244 2.150798 0.125966 0.018723 0.994151 0.011281 0.022690 0.109817 0.122674 0.683352 3898.539601 0.080965 0.813275 0.304923 0.446996 0.553004 0.962655 0.438402 0.615369 0.384631 -0.347844 0.016402 -0.572563 0.015297
d30019 RUPsc 2459130.73928096 3898.603916 10.686978 -0.409147 9.181763 0.114116 0.023168 0.980658 0.014946 0.024239 0.110690 0.119343 2.678315 3898.568067 0.086919 0.802752 0.304632 0.446042 0.553958 0.960550 0.399919 0.575528 0.424472 -0.243327 0.012323 -0.726106 0.006311
d30020 RUPsc 2459130.76824627 3896.977626 nan 16.166646 nan 9.047002 nan -15.122422 nan 0.137998 -0.015142 24.243381 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
d30021 RUPsc 2459130.78122592 3898.644476 809.375586 -0.369485 628.427320 0.084242 0.080183 0.995088 0.056720 0.342102 0.104072 0.078406 133.355119 3898.668759 0.074391 0.777124 0.257281 0.563029 0.436971 0.955425 0.336063 0.608076 0.391924 -0.089589 0.003916 -0.821320 0.015477
d30022 RUPsc 2459130.79425149 3898.644923 nan -0.320270 nan 0.148331 nan 0.991159 nan 0.031533 0.105656 0.120142 nan 3898.676963 0.079213 0.785045 0.266230 0.530185 0.469815 0.957009 0.406786 0.619380 0.380620 -0.355635 0.019952 -0.454417 0.036216
d30024 RUPsc 2459130.81058526 3896.173096 nan 8.963631 nan 9.000823 nan -7.810609 nan 0.057651 -0.054391 25.892336 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
d30025 RUPsc 2459130.82338734 3898.706572 3.706853 -0.313712 2.434673 0.128257 0.028087 0.977920 0.015468 0.050231 0.097401 0.103133 0.800718 3898.712987 0.076376 0.805039 0.303927 0.514165 0.485835 0.961008 0.420467 0.648822 0.351178 -0.278540 0.010627 -0.593448 0.031869
d30026 RUPsc 2459130.83630117 3897.377063 0.073219 0.483814 0.132867 0.126543 0.027706 0.854089 0.028975 0.097372 -0.220531 -0.179682 -0.063108 3897.376915 -0.109987 1.386271 0.720439 0.505736 0.494264 1.077254 0.720439 0.505736 0.494264 0.394862 0.083686 -0.827005 0.139504
d30027 RUPsc 2459130.84899856 3898.745187 15.149058 -0.376611 11.987352 0.109618 0.027310 0.965343 0.016340 0.055168 0.104752 0.107197 3.412133 3898.732117 0.087168 0.781327 0.291190 0.451039 0.548961 0.956265 0.394370 0.594665 0.405335 -0.185493 0.008817 -0.720851 0.015223
d30029 RUPsc 2459130.86505357 3895.706426 nan 6.170135 nan 8.754736 nan -5.049144 nan 0.060329 -0.092774 26.816980 nan 3898.572490 0.145584 0.959330 0.375899 0.070862 0.929138 0.991866 0.398634 0.123854 0.876146 nan nan nan nan
d30030 RUPsc 2459130.87786209 3898.790390 2.115885 -0.546035 2.397203 0.146773 0.052288 1.073409 0.040768 0.245877 0.167918 0.187151 0.824330 3898.781876 0.102929 0.770997 0.329750 0.530406 0.469594 0.954199 0.404631 0.576898 0.423102 -0.644071 0.017892 0.027338 0.028110
d30031 RUPsc 2459130.8907636 3898.804246 4.362132 -0.370157 3.383140 0.128017 0.030234 0.965046 0.015811 0.048624 0.104578 0.123082 1.125317 3898.805768 0.089306 0.773985 0.275444 0.472122 0.527878 0.954797 0.379797 0.612140 0.387860 -0.211720 0.011090 -0.728584 0.011593
d30032 RUPsc 2459130.90375034 3897.309485 0.230529 0.274732 0.124176 0.351869 0.230722 0.806858 0.030365 0.056972 0.352227 -0.300320 -0.239173 nan nan nan nan nan nan nan nan nan nan nan nan nan nan
d30034 RUPsc 2459130.91988698 3899.264872 nan -1.317064 nan 1.875266 nan 1.986445 nan 0.205688 0.749263 3.116614 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
d30035 RUPsc 2459130.93275218 3898.844902 7.110465 -0.325241 4.846529 0.122379 0.022230 0.947281 0.015697 0.035112 0.088278 0.105323 1.569568 3898.817187 0.080373 0.817722 0.304329 0.455033 0.544967 0.963544 0.423082 0.607998 0.392002 -0.343854 0.013137 -0.585882 0.018926
d30036 RUPsc 2459130.9455227 3898.854702 3.167889 -0.316823 2.103429 0.132982 0.036279 0.968081 0.017032 0.033364 0.097464 0.109091 0.724881 3898.845980 0.081026 0.825303 0.340366 0.518277 0.481723 0.965061 0.423840 0.602725 0.397275 -0.248723 0.010337 -0.869469 0.009427
d30037 RUPsc 2459130.95831972 3898.849392 11.709393 -0.382775 9.406398 0.117117 0.023722 0.949838 0.012279 0.028843 0.105401 0.118306 2.907364 3898.814428 0.093930 0.802558 0.329346 0.488049 0.511951 0.960512 0.450792 0.625972 0.374028 -0.197382 0.009911 -0.841290 0.014736
d30039 RUPsc 2459130.9747265 3898.819656 1.324835 -0.318465 0.869257 0.157776 0.027679 0.986787 0.012206 0.027593 0.102100 0.127635 0.349100 3898.767916 0.077704 0.836137 0.307380 0.414296 0.585704 0.967227 0.540260 0.666765 0.333235 -0.575879 0.018451 -0.191780 0.033382
d30040 RUPsc 2459130.98765724 3898.740200 0.819573 -0.333153 0.561555 0.157796 0.033260 1.013614 0.015108 0.039190 0.119896 0.130004 0.220839 3898.746313 0.081248 0.823657 0.329177 0.482614 0.517386 0.964731 0.626492 0.728150 0.271850 -0.653110 0.020356 0.449956 0.055952
d40043 RUPsc 2459131.63641884 3897.076455 0.325232 0.313485 0.151968 0.378235 0.318500 0.713932 0.030998 0.120267 0.561525 -0.416304 -0.404497 3897.798792 0.121805 0.884838 0.434337 0.223724 0.776276 0.976968 1.070476 0.616669 0.383331 -1.771631 0.011570 2.452558 0.086065
d40044 RUPsc 2459131.64916752 3898.786510 3.668557 -0.398335 3.062672 0.126104 0.028471 0.966281 0.016713 0.074112 0.114099 0.130306 1.002310 3898.754608 0.096884 0.801653 0.335421 0.487300 0.512700 0.960331 0.402124 0.564912 0.435088 -0.309436 0.013898 -0.706247 0.029874
d40045 RUPsc 2459131.66193554 3897.970375 0.234890 -0.185606 0.121313 0.090213 0.057261 0.983421 0.028313 0.101980 0.057421 0.042679 0.038884 3897.972906 0.034493 0.841372 0.177003 0.195757 0.804243 0.968274 0.337732 0.477712 0.522288 -0.180523 0.010761 -0.875096 0.016589
d40046 RUPsc 2459131.67469849 3896.480975 nan 8.903635 nan 8.359724 nan -7.825036 nan 0.056988 -0.035694 23.843110 nan 3898.705652 0.124772 0.886127 0.345118 0.260433 0.739567 0.977225 0.414094 0.383622 0.616378 nan nan nan nan
d40048 RUPsc 2459131.6904976 3897.082848 0.863648 0.230445 0.226905 0.395627 0.816104 0.834790 0.032587 0.088445 0.155904 -0.273757 -0.625744 3898.050398 0.059216 0.845439 0.292802 0.588352 0.411648 0.969088 1.204905 0.856435 0.143565 0.080085 0.011993 -0.862038 0.003276
d40049 RUPsc 2459131.70319743 3898.005296 0.148883 -0.199648 0.093953 0.072327 0.032283 0.871351 0.017439 0.058288 0.061651 0.041539 0.026942 3898.004261 0.078813 0.819784 0.311679 0.528633 0.471367 0.963957 0.407217 0.497709 0.502291 -0.329662 0.020433 -0.600818 0.021867
d40050 RUPsc 2459131.7159495 3898.904056 15.592124 -0.440391 14.396342 0.124993 0.023639 0.983559 0.015746 0.037253 0.111952 0.140286 4.586004 3898.827063 0.086512 0.799333 0.305045 0.459588 0.540412 0.959867 0.400833 0.588732 0.411268 -0.319107 0.015300 -0.628582 0.021882
d40051 RUPsc 2459131.72870678 3898.832918 1.255709 -0.345602 0.885889 0.163742 0.046630 1.003591 0.020852 0.050728 0.121201 0.141341 0.364533 3898.814367 0.087950 0.834430 0.344155 0.484110 0.515890 0.966886 0.458513 0.612779 0.387221 -0.511502 0.013958 -0.355841 0.019285
d40053 RUPsc 2459131.74463203 3897.659615 nan 5.982782 nan 3.320849 nan -4.899960 nan 0.083707 -0.027752 10.163649 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
d40054 RUPsc 2459131.7573342 3898.872682 313605.478590 -0.238002 156824.778656 0.074313 0.044821 0.981987 0.019839 0.080237 0.024984 0.045147 29748.551334 nan nan nan nan nan nan nan nan nan nan nan nan nan nan
d40055 RUPsc 2459131.77012887 3896.996414 nan 12.864420 nan 8.991455 nan -11.828953 nan 0.011761 -0.021629 24.511158 nan 3898.722287 0.100135 0.871035 0.377571 0.457787 0.542213 0.974207 0.493071 0.584799 0.415201 nan nan nan nan
d40056 RUPsc 2459131.78275824 3896.237076 nan 7.392699 nan 8.806285 nan -6.311753 nan 0.006712 -0.039092 25.854473 nan 3898.693926 0.093594 0.881566 0.361776 0.528895 0.471105 0.976313 1.117537 0.847491 0.152509 nan nan nan nan
d40057 RUPsc 2459131.79546537 3895.951078 nan 4.007284 nan 7.139513 nan -2.922639 nan 0.006822 -0.080510 24.537678 nan 3898.570975 0.089848 0.890536 0.366857 0.371049 0.628951 0.978107 1.204960 0.808512 0.191488 nan nan nan nan
d40059 RUPsc 2459131.81149018 3900.719412 nan -0.821754 nan 1.425553 nan 1.059458 nan 0.005284 0.130420 2.771607 nan 3898.585523 0.078731 0.875088 0.404068 0.705850 0.294150 0.975018 1.228772 0.903272 0.096728 -0.763481 0.027525 -0.178849 0.048268
d40060 RUPsc 2459131.82512342 3896.592816 nan 12.242408 nan 9.422535 nan -11.190640 nan 0.010475 -0.017943 25.838640 nan 3898.625712 0.074229 0.880875 0.417198 0.886521 0.113479 0.976175 1.182163 0.959952 0.040048 nan nan nan nan
d40061 RUPsc 2459131.83859125 3897.624700 0.358133 -0.125635 0.162873 0.170130 0.175856 0.973362 0.047321 0.159092 0.066990 0.055043 0.091264 3897.678077 0.060582 0.901026 0.489660 0.389405 0.610595 0.980205 0.944013 0.567688 0.432312 -0.099705 0.016878 -0.019693 0.031923
d40062 RUPsc 2459131.85145885 3898.501813 nan -0.304307 nan 0.150721 nan 0.994393 nan 0.013835 0.097222 0.115616 nan 3898.470227 0.068689 0.839881 0.313582 0.453084 0.546916 0.967976 0.466882 0.632663 0.367337 -0.333077 0.007164 -0.608393 0.013830
d40064 RUPsc 2459131.86731123 3898.496296 1.421886 -0.343125 1.027651 0.126099 0.019621 0.997701 0.010176 0.013758 0.103312 0.108706 0.326010 3898.480272 0.073046 0.818261 0.283381 0.404834 0.595166 0.963652 0.473216 0.596141 0.403859 -0.297677 0.015805 -0.618984 0.029884
d40065 RUPsc 2459131.88021763 3898.512556 3.320052 -0.359496 2.506069 0.119120 0.015977 0.990134 0.010361 0.014907 0.101089 0.108412 0.755884 3898.493327 0.074020 0.825946 0.322528 0.458191 0.541809 0.965189 0.399394 0.554180 0.445820 -0.165028 0.022121 -0.681248 0.015653
d40066 RUPsc 2459131.89316784 3898.524701 5.508866 -0.346114 4.002627 0.117746 0.022495 0.954529 0.012844 0.018128 0.099177 0.107020 1.237802 3898.502596 0.086132 0.782854 0.286912 0.411706 0.588294 0.956571 0.469876 0.640781 0.359219 -0.142058 0.017743 -0.524288 0.066431
d40067 RUPsc 2459131.90621044 3898.867836 nan -0.433637 nan 0.545552 nan 0.962063 nan 0.238266 0.200134 0.616381 nan 3898.426852 0.217071 0.803658 0.371927 0.258300 0.741700 0.960732 1.440952 0.808559 0.191441 -0.479154 0.008531 -0.982293 0.011717
d40069 RUPsc 2459131.92217231 3898.582860 2.994396 -0.359692 2.255521 0.130938 0.028096 0.984571 0.012924 0.028664 0.104795 0.119905 0.752329 3898.581933 0.080553 0.795568 0.288229 0.480117 0.519883 0.959114 0.387374 0.613177 0.386823 -0.207036 0.018051 -0.719919 0.018168
d40070 RUPsc 2459131.93490159 3897.996948 0.667431 0.761171 1.540476 0.224204 0.424605 1.411342 0.548135 18.420585 -0.194743 -0.303099 -0.840105 3898.153274 -0.860241 5.519447 1.315649 0.607909 0.392091 1.903889 1.315649 0.607909 0.392091 0.123452 0.017072 -1.386102 0.013784
d40071 RUPsc 2459131.94767928 3898.608083 nan -0.719392 nan 0.656210 nan 1.473768 nan 2.824730 -0.039648 0.802915 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
d40072 RUPsc 2459131.96032798 3898.685667 7.198307 -0.411981 6.234089 0.111352 0.019306 0.993646 0.013537 0.089437 0.110486 0.115726 1.751280 3898.653591 0.081643 0.794870 0.291244 0.453342 0.546658 0.958974 0.375549 0.541572 0.458428 -0.271674 0.017011 -0.549080 0.031442
d40074 RUPsc 2459131.97637248 3893.111157 nan 1.566994 nan 2.102182 nan 0.751107 nan 0.102541 0.299078 -10.993247 nan 3898.562647 0.128306 0.900005 0.353894 0.249507 0.750493 0.980001 0.384984 0.310115 0.689885 -1.926085 0.029789 2.000269 0.125460
